NOME,VALOR[R$],TIPO,AREA[M2],QUARTOS,BANHEIROS,VAGAS GARAGEM,CONDOMINIO[R$],IPTU[R$],LOGRADOURO,MUNICIPIO,BAIRRO,CEP,IMAGENS,CODIGO,DATA_ANUNCIO,LINK,GASTOS_ANO[R$],Academia,Ar condicionado,Armários na cozinha,Armários no quarto,Churrasqueira,Condomínio fechado,Elevador,Mobiliado,Permitido animais,Piscina,Portaria,Porteiro 24h,Portão eletrônico,Quarto de serviço,Salão de festas,Segurança 24h,Varanda,Área de serviço,Área murada,LATITUDE,LONGITUDE
FLORIANóPOLIS - Casa Padrão - Itaguaçu,2500000,Casa em rua pública,732,4,2,4,0,636,Rua Luiz da Costa Freysleben,Florianópolis,Itaguaçu,88085500,,1015185840,27/03 às 12:00,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-casa-padrao-itaguacu-1015185840,636,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-27.6152292,-48.5902482
FLORIANóPOLIS - Apartamento Padrão - Canasvieiras,880000,Apartamento padrão,64,2,1,1,378,150,Rua dos Eucaliptos,Florianópolis,Canasvieiras,88054150,,1009021442,27/03 às 12:01,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-apartamento-padrao-canasvieiras-1009021442,4686,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,-27.4324621,-48.4505444
Apartamento 3 dormitórios em Campinas São José,330000,Apartamento padrão,67,3,1,1,616,862,Rua Frei Hilário,São José,Campinas,88101310,,1164457605,27/03 às 12:02,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-3-dormitorios-em-campinas-sao-jose-1164457605,8254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.5933677,-48.6081915
Casa para aluguel com 52 metros quadrados com 2 quartos Campeche - Florianópolis,547000,Casa em rua pública,52,1,1,1,0,0,Rua Jardim dos Eucaliptos - de 1071/1072 ao fim,Florianópolis,Campeche,88063271,,1164457825,27/03 às 12:02,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-para-aluguel-com-52-metros-quadrados-com-2-quartos-campeche-florianopolis-1164457825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Apartamento para venda com 246 metros quadrados com 3 quartos,4200000,Apartamento padrão,246,3,4,2,1350,7265,Avenida Afonso Delambert Neto,Florianópolis,Lagoa da Conceição,88062000,,1164457948,27/03 às 12:02,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-para-venda-com-246-metros-quadrados-com-3-quartos-1164457948,23465,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,-27.6034383,-48.4707258
Apartamento para venda com 122 metros quadrados com 3 quartos em Campinas - São José - SC,999000,Apartamento padrão,122,3,2,2,0,0,Avenida Marechal Castelo Branco,São José,Campinas,88101020,,973676595,27/03 às 12:03,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-para-venda-com-122-metros-quadrados-com-3-quartos-em-campinas-sao-jose-sc-973676595,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,-27.5992598,-48.6092721
FLORIANóPOLIS - Apartamento Padrão - Centro,715000,Apartamento padrão,68,2,2,2,920,0,Rua Crispim Mira,Florianópolis,Centro,88020540,,1113981573,27/03 às 12:03,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-apartamento-padrao-centro-1113981573,11040,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,-27.5919815,-48.543182
Apartamento no bairro Rio Tavares Central em Florianópolis,3500000,Apartamento padrão,870,5 ou mais,5 ou mais,5 ou mais,0,0,Servidão José Bernardino Chagas,Florianópolis,Rio Tavares,88048401,,979659499,27/03 às 12:03,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-no-bairro-rio-tavares-central-em-florianopolis-979659499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.656079,-48.4845313
Apartamento com 3 Dormitórios - Campinas em São José/Sc,850000,Apartamento padrão,118,3,1,2,0,0,Rua Dezenove de Março,São José,Campinas,88101190,,961648869,27/03 às 12:03,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-com-3-dormitorios-campinas-em-sao-jose-sc-961648869,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-27.5972231,-48.611352
Apartamento de 2 dormitórios | 2 suítes | Canto,920000,Apartamento padrão,86,2,3,1,1,1,Rua Araci Vaz Callado - até 1560/1561,Florianópolis,Canto,88070750,,1131855722,27/03 às 12:03,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-de-2-dormitorios-2-suites-canto-1131855722,13,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,,
"Sobrado para Venda em São José, Forquilhas, 2 dormitórios, 2 banheiros, 2 vagas",349000,Casa em rua pública,75,2,2,2,0,1,Rua Antônio Jovita Duarte,São José,Forquilhas,88107100,,1150410751,27/03 às 12:04,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/sobrado-para-venda-em-sao-jose-forquilhas-2-dormitorios-2-banheiros-2-vagas-1150410751,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-27.5914872,-48.6514466
"Apartamento para Venda Apartamento de 2 dormitórios com garagem em Campinas, São José. SÃO",300000,Apartamento padrão,67,2,1,1,350,500,Rua Elizeu Di Bernardi,São José,Campinas,88101050,,1084865258,27/03 às 12:04,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-para-venda-apartamento-de-2-dormitorios-com-garagem-em-campinas-sao-jose-sao-1084865258,4700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Casa Residencial para Venda Uma casa ideal para viver bem e fazer home office <br><br>em Coqueir,1700000,Casa em rua pública,270,3,1,5 ou mais,0,0,Rua Professor Bayer Filho,Florianópolis,Coqueiros,88080300,,1005308672,27/03 às 12:04,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-residencial-para-venda-uma-casa-ideal-para-viver-bem-e-fazer-home-office-br-br-em-coqueir-1005308672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.6065168,-48.5809399
